anchor,same_period_affil,diff_period_affil,same_period_cos_sim,diff_period_cos_sim
"library, information and media science",library and information science,,0.9513422250747681,
shakespeare institute,king's learning institute,,0.7294288873672485,
ammachi labs,lab,,0.7461608052253723,
coe,ae,,0.8147618770599365,
microbial biochemistry,microbial chemistry,,0.9553747773170471,
k s hegde medical academy,medical school,,0.8321524858474731,
graduate degree in pharmaceutical sciences,graduate in pharmaceutical sciences,,0.9821763038635254,
biophysical sciences,biologic sciences,,0.9422268271446228,
"graduate information, production and system","graduate information, production and systems",,0.9860460758209229,
center for conservation and sustainable development,center for sustainable development,,0.9021685719490051,
centre for biomedicine,centre for biomedical research,clinical sciences centre,0.9316667318344116,0.8983961343765259
sector humanities,academic humanities,,0.913446843624115,
call center,call centre,,0.9862735271453857,
tu wien,tu berlin,,0.7294901609420776,
contemporary culture,culture,,0.9131507277488708,
corpuscular physics,molecular physics,,0.9111490845680237,
rutgers robert wood johnson medical school,rutgers robert wood johnson medical school new brunswick,,0.951057493686676,
water research laboratory,water research centre,,0.8937708735466003,
ecological research,ecological studies,,0.9558292627334595,
human genetics and molecular medicine,genetics and molecular medicine,,0.9666914939880371,
tocoginecologia,ginecologia,,0.858730673789978,
"philosophy, letters and educational sciences","philosophy, letters and education sciences",,0.9969222545623779,
finance-accounting,accounting-finance,,0.9765506982803345,
uniritter,unirp,,0.8243390321731567,
"etudiants, ecole doctorale, doctoral program in photonics","etudiants, ecole doctorale, doctoral program in electrical engineering",,0.8970264196395874,
kurdish language department,kurdish language,,0.910341203212738,
nyu langone medical center,nyu langone health,,0.8573081493377686,
moritz law,maurer law,,0.7856862545013428,
post graduate diploma in management,graduate management,,0.8779449462890625,
tashkent medical academy,urgench branch of tashkent medical academy,,0.9612557888031006,
psychology and neuropsychology,clinical psychology and neuropsychology,,0.9733996987342834,
computer science and engieering,computer science and engneering,,0.955279529094696,
harold vance petroleum engineering,petroleum engineer,,0.7213375568389893,
gastroenterologist,gastroenterology,,0.9550533890724182,
bristol medical school,bristol medical school ths,,0.9914005994796753,
marketing and international trade,international trade and marketing,,0.9700558185577393,
"anatomy, cell biology and physiology","anatomy, cell biology & physiology","biochemistry, molecular biology and cell biology",0.9980165958404541,0.8853036761283875
world economy and international relations,world economy and international affairs,,0.9815918207168579,
geographical institute,geography institute,,0.9434847235679626,
foscal clinic,ces clinic,,0.8797074556350708,
adults emergency,adult emergency,,0.9293103218078613,
"candiolo cancer institute, fpo-irccs",candiolo cancer institute,,0.8943436145782471,
biosciences and bioengineering,biosciences & bioengineering,,0.9971723556518555,
genomic medicine unit,genomics unit,molecular genetics center,0.8913892507553101,0.7754064202308655
business information systems,business and information systems,,0.977390468120575,
architecture and urban-rural planning,architecture and urban planing,,0.9566483497619629,
lung health,lung health and immunity,,0.911141037940979,
cancer research uk edinburgh centre,edinburgh cancer research centre,clinical sciences centre,0.9454512000083923,0.6428484916687012
sustainable food systems and development,sustainable food systems,,0.955357551574707,
government and politics,government & politics,,0.9956404566764832,
industrial engineering and systems,industrial systems and engineering,,0.9946982860565186,
secretaria de estado de saúde do distrito federal,secretaria de estado da saúde do distrito federal,,0.9934719800949097,
fkit,fme,,0.7405955195426941,
unipe,unip,,0.8439424633979797,
cryogenic engineering,cryogenic engineering centre,,0.9149682521820068,
roessingh research and development,research&development,,0.820229172706604,
graduate program in literature,graduate program in literary studies,,0.983684241771698,
romance-germanic philology,romance and germanic philology,,0.9690234065055847,
organizational behaviour,organizational behavior,,0.9943104386329651,
english language centre,english language center,,0.986204206943512,
chemical engineering and environmental technology,chemical engineering and environmental technologies,,0.9901577234268188,
chemistry and process engineering,chemical & process engineering,,0.9716636538505554,
plant & soil sciences,plant and soil sciences,,0.9975473284721375,
medical genomics,medical genetics and genomics,,0.9640018939971924,
phlam,lam,lthe,0.8119760751724243,0.6782525777816772
parasitology and tropical medicine,tropical medicine and parasitology,,0.9406483769416809,
research center in advanced materials,advanced materials research center,,0.980438768863678,
biology dept.,biology dept,,0.9688138961791992,
chiapas,anchas,,0.7869506478309631,
bioxistemas,bromatologia,,0.7935891151428223,
oil and gas technology,chemical technology of oil and gas processing,,0.921953558921814,
master of accounting,masters in accounting,,0.8309048414230347,
clinical oncology and nuclear medicine,clinical and radiation oncology,,0.9131909012794495,
head and neck surgery,head & neck surgery,,0.9952867031097412,
ent & head and neck surgery,ent and head & neck surgery,,0.9970451593399048,
english for international business,business english,,0.8898815512657166,
uin imam bonjol padang,iain palangka raya,sekolah tinggi ilmu statistics,0.765070915222168,0.7004482746124268
property management,real estate management,,0.8542520403862,
degree course in medicine,degree in medicine,,0.9334148168563843,
philology and european cultures,classical philology and indo-european,,0.8639621734619141,
emergency ward,emergency room,,0.922081470489502,
industrial engineering program,production engineering program,,0.8960827589035034,
regional and international studies,global and regional studies,,0.9467624425888062,
health and services,health services,,0.9751383066177368,
cece,ce,,0.9529528617858887,
preventive medicine and public health and microbiology,"preventive medicine, public health and microbiology",,0.995187520980835,
water treatment plant,wastewater treatment plant,,0.9363740086555481,
"chemistry, technology and pharmacy",chemistry and pharmacy,,0.9206151366233826,
bioeconomy,bio-economy,,0.9823150634765625,
upds,upb,,0.8741799592971802,
agro-technical school,agricultural school,,0.9072549343109131,
chemical and biomolecular engineering department,chemical and biochemical engineering department,,0.9695675373077393,
global health & social medicine,global health and social medicine,population and international health,0.9972607493400574,0.8258224725723267
economic analysis department,economics department and analysis,,0.9548016786575317,
organic chemistry and macromolecular chemistry,organic and macromolecular chemistry,,0.9898788928985596,
secretary of education of antioquia,secretary of education of caldas,,0.8721529841423035,
science du langage,département des sciences du langage,,0.8432501554489136,
fisheries resources,fisheries and marine resources,,0.9402285218238831,
oculoplasty,plastic surgery,,0.8394613265991211,
bioscience & biotechnology,bioscience and biotechnology,,0.9976624846458435,
ecclesiastical philosophy,theology and philosophy,,0.8731199502944946,
national advanced studies,national science education and research,,0.7985483407974243,
academic staff,faculty i,,0.8678808808326721,
neuroscience and behavioral sciences department,neuroscience department,,0.9349966645240784,
human health and performance,health and human performance,,0.9877629280090332,
public management,public management and administration,,0.9382153749465942,
inorganic chemistry and catalysis,catalysis and inorganic chemistry,,0.9840483665466309,
"philosophy, classics, history of art and ideas",philosophy and history of ideas,,0.9074318408966064,
yufu,urfu,,0.8060526847839355,
self,themselves,,0.7883404493331909,
division of computer science,computer science division,,0.9592069387435913,
english and spanish,spanish language,,0.9024094343185425,
international economic relations department,international trade department,,0.8849012851715088,
foreign languages and literary studies,languages and literary studies,,0.9526023864746094,
biorefinery,bioprocessing,,0.8303267955780029,
"urology,",urology,,0.9845762252807617,
blizzard institute,ice,,0.6361608505249023,
laboratory of biochemistry and molecular biology,laboratory of biochemistry and genetics,,0.9713695645332336,
biomedicine,biomedic,,0.9567248821258545,
biocybernetics and biomedical engineering,electronics and biomedical engineering,,0.892164945602417,
samsung advanced technology,samsung electromechanics,,0.8802372217178345,
speech language sciences,speech sciences,,0.9615947008132935,
transportation and civil engineering,civil engineering and transportation,,0.9841710329055786,
dmem,dms,,0.8885281085968018,
biomedical sciences and pharmacy,biomedical science and pharmacy,,0.99222731590271,
statistical genetics,quantitative genetics,,0.9027917385101318,
"center for humanities, letters and arts","center for arts, humanities and letters",,0.9892177581787109,
enfemagem,femec,,0.7956093549728394,
c-level,c3,,0.7860433459281921,
business support studies,business support,,0.7818235158920288,
gi,sgi,,0.8902274370193481,
open education and scientific information systems,information science,,0.7275899648666382,
computer engineering and telecommunications,computer and communications engineering,,0.9687922596931458,
guangdong cardiovascular institute,guangdong general hospital,,0.840106725692749,
australian business,australian centre,,0.7971025705337524,
center for research and documentation of contemporary history of brazil,history of brazil,brazilian institute graduate and extension,0.8185672760009766,0.6588171720504761
pharmaceutical sciences and food,pharmaceutical and food sciences,,0.9873131513595581,
telecommunications and telematics,telematics,and communications signals,0.94954514503479,0.8147451877593994
language academy,language learning academy,,0.9677093029022217,
experimental zooprophylactic veneto,experimental zooprophylactic south,,0.7897270917892456,
laboratory of microbiology,laboratory of medical microbiology,,0.9743949174880981,
graduate and research unit,graduate studies unit,,0.9097989201545715,
"human nutrition, foods, and exercise","human nutrition, foods and exercise",,0.9978997111320496,
nuclear futures institute,nuclear technology,,0.7722025513648987,
criminal justice,criminal justice system,,0.9516396522521973,
ippp,ppp,,0.9157646894454956,
quality and patient safety,quality & patient safety,,0.9962191581726074,
landscape architecture and urban planning,landscape architecture & urban planning,,0.9976561665534973,
care management,healthcare management,,0.87469083070755,
aeronautics and aerospace,aeronautics,,0.9488224387168884,
quantum physics,quantum physics and astrophysics,,0.9396286010742188,
china national offshore oil corporation china,china national petroleum corporation china,,0.9051980972290039,
cartography and remote sensing,cartography and geoinformation,,0.8517475724220276,
uncp,unap,,0.842176616191864,
fish diseases and management,fish diseases,,0.9103453755378723,
state education department,state education,,0.9381018877029419,
human health and performance,health and human performance,,0.9877629280090332,
cs and it,it and cs,,0.9326376914978027,
mechanical and engineering,mechanics and engineering,,0.9871837496757507,
cadarache,ens cachan,,0.7528371810913086,
graduate studies & research,graduate studies and research,,0.9974597096443176,
moh polytechnic bengkulu,malang state polytechnic,sekolah tinggi ilmu statistics,0.8171234130859375,0.6059462428092957
innovation sciences,innovation science,,0.974590539932251,
doctor of education,doctorate in education,,0.967353343963623,
post graduate program in arts,graduate program in arts,,0.9708535671234131,
utrecht linguistics,utrecht linguistics ots,,0.9777916669845581,
istanbul medical faculty,cerrahpaşa medical faculty,,0.8206524848937988,
toxicology and pharmacology,toxicology & pharmacology,,0.9975096583366394,
advanced materials and chemical engineering,advanced materials engineering,,0.9729674458503723,
wwf international,wwf,,0.7837748527526855,
investigation group,investigation area,"research group economy, management and health ecgesa",0.8041073679924011,0.6104377508163452
civil and engineering department,civil engineering department,,0.9820521473884583,
"culture, film and media",culture and media,,0.9496938586235046,
human and information sciences,human sciences and information,,0.9746335744857788,
communication sciences and information technology,communication and information sciences,,0.9732585549354553,
clinic anesthetics,anesthesiolgy,,0.8734627962112427,
women's and children's health,women's & children's health,,0.9972261190414429,
division of health research,division of health sciences,,0.929387629032135,
ifakara health institute,public health institute,,0.6979048252105713,
information convergence engineering,information engineering,,0.9229423403739929,
field science,field research,,0.8414320349693298,
maternal-child nursing and psychiatric,maternal and child nursing and psychiatric department,,0.8795398473739624,
experimental cardiology cardiology research center,experimental cardiology,preclinical research center,0.9079509973526001,0.7692299485206604
huacho,huamanga,,0.7671229839324951,
st. petersburg steklov mathematics,st. petersburg,,0.8248986005783081,
shadan hospital and medical sciences,hassan medical sciences,,0.786314845085144,
health of woman and child - sdb,health of woman and child,,0.8559103608131409,
bioengineering catalonia,bioengineering of catalonia,,0.9669215083122253,
cham humanities center,humanities center,,0.8642445802688599,
phitem,ufr phitem,,0.8404790759086609,
indian agricultural research institute,indian veterinary research institute,,0.8782445788383484,
barueri education foundation,education foundation,,0.7997729778289795,
accm,accf,m.p.c,0.8799121379852295,0.7646750211715698
management and medical information,management and medical informatics,,0.9183739423751831,
criminal and forensic sciences,criminalistics and forensic sciences,,0.9826079607009888,
hospital federal dos servidores do estado,hospital do servidor público estadual,,0.8498647809028625,
département de mathématiques et applications,département des sciences de l'éducation,,0.8259997367858887,
pranveer singh technology,indian technology kanpur,veer surendra sai medical sciences and research,0.7656016945838928,0.6682355999946594
westmead applied research centre,westmead medical research,,0.895219087600708,
physics cavendish laboratory,"physics, cavendish laboratory",,0.9701101183891296,
aerospace research centre,aerospace research center,,0.9896367788314819,
coens,cen,,0.7745285034179688,
ceart,deart,,0.8753502368927002,
di4a,di3a,,0.881496250629425,
veterinary medicine and animal sciences,veterinary medicine & animal science,,0.9894232749938965,
aselsan,aselsan inc.,,0.8931270837783813,
modern languages and culture,modern languages and cultures,,0.9860851764678955,
willy brandt public policy,public policy,,0.7034114599227905,
development management,development and management,,0.9402475357055664,
physiotherapy's clinic,physiotherapy clinic,,0.9841859340667725,
copsac,atc,,0.6603331565856934,
b-11: bioenergy and biome sciences,biosciences & bioengineering,,0.784765899181366,
kayseri training and research hospital,konya training and research hospital,,0.8299605250358582,
microscopy,nanoscopy,,0.8939275145530701,
australian health services research institute,south australian health and medical research institute,,0.9184556007385254,
medicine and veterinary medicine,medicine & veterinary medicine,,0.9977994561195374,
fesc,fes,,0.8520110845565796,
health and life science,health & life science,,0.9966105222702026,
cispa,ispa,,0.889361560344696,
medical clinics,medical clinic,,0.9604289531707764,
organic chemistry and biochemistry,biochemistry and organic chemistry,,0.985008716583252,
division of cancer therapeutics,division of cancer studies,,0.8447144031524658,
global pediatric medicine,pediatrics and medicine,,0.8403547406196594,
earth & environmental sciences,earth and environmental sciences,,0.9981859922409058,
electrical and electronics enginering,electrical and computer enginering,,0.9609649777412415,
pathology and experimental therapeutics,experimental therapeutics,,0.8944826126098633,
anthropology of americas,american history,"history, sociology",0.8313442468643188,0.6902578473091125
electrocardiology,cardiac electrophysiology,,0.9599048495292664,
mai,iau,,0.8527281284332275,
parul public health,public health,,0.8754870295524597,
harvardx,harvard,,0.7367736101150513,
"humanities - languages, mediation, history, literature, philosophy","languages, literatures and cultural studies",,0.8897711634635925,
dopt,dtis,,0.7874354124069214,
clinical division,clinical sciences division,,0.9288662672042847,
national instruments corp,instrument department,,0.7294687032699585,
atmospheric pollution research,atmospheric and climate science,,0.7933293581008911,
retirement,retired,,0.900252103805542,
ftve,tvet,,0.811799168586731,
escuela técnica superior de ingenieros de minas y energía,escuela tecnica superior de ingenieros industriales,escuela técnica superior de ingenieros aeronáuticos,0.9261365532875061,0.8700515627861023
radiology and diagnostic imaging,radiology and imaging,,0.9864648580551147,
mechanical engineering & automation,mechanical engineering and automation,,0.9972927570343018,
ji hua laboratory,xianghu laboratory,,0.8915306329727173,
generation,gen,,0.7741383910179138,
functional genomics and cancer,molecular genetics of cancer,,0.8797347545623779,
animal production and pastures,agriculture and livestock,,0.8612453937530518,
"environment, health and safety","environment, health & safety",,0.9974116086959839,
nutrition of central america and panama,nutrition,,0.5752962827682495,
living adjustments,accommodation,,0.6288806200027466,
industrial fisheries,industrial fish and fisheries,,0.9519940614700317,
camden and islington nhs foundation trust,county durham and darlington nhs foundation trust,london research institute,0.8790338039398193,0.5866163969039917
industry,industry department,,0.8606399297714233,
mechanics and engineering sciences,mechanics and engineering science,,0.9914037585258484,
storia culture civiltà,culture e civiltà,,0.8972601294517517,
obstetrics and gynecology №1,obstetrics and gynecology №2,,0.9403701424598694,
uib,aib,,0.9068078398704529,
mace,"mechanical, aerospace and civil engineering mace",,0.6872949600219727,
applied mechanics and automatic control,applied mechanics,,0.8570783138275146,
communication school,communication and arts school,,0.9174891710281372,
hospice and palliative medicine,hospice and palliative care,,0.9638320207595825,
electrical machines and apparatus,electrical machines,,0.9618915319442749,
human movement sciences,human movement science,,0.9731894731521606,
ateneo medicine and public health,medicine and public health,,0.9015350341796875,
clinical immunology laboratory,immunology laboratory,,0.9492269158363342,
political and social sciences sps,political & social sciences,political science/economics,0.9288082718849182,0.8204420208930969
"mathematics, informatics, and mechanics","mathematics, informatics and mechanics",,0.9969319105148315,
laboratory of cell and developmental signaling,laboratory of cell biology,,0.8957703709602356,
polytechnic castelo branco,polytechnic viana do castelo,,0.8038924932479858,
subdirección general,direccion general,,0.9239853620529175,
"communication, culture, and technology","communication, culture & technology",,0.9927428364753723,
national technology raipur,national technology durgapur,,0.9161162972450256,
english dept,english dept.,,0.9404943585395813,
helsinki collegium for advanced studies,folkhälsan research center,,0.7124312520027161,
basic disciplines,basic training,,0.8545017242431641,
polymer physics and chemistry,polymer chemistry and physics,,0.9976146221160889,
academic field of biology,degree in biological sciences,,0.9007322192192078,
technical drawing,engineering graphics,,0.8104454278945923,
uniceub,uniceuma,,0.844782829284668,
epidemiology and public health,"epidemiology, public health",,0.9955358505249023,
microbiology/virology,microbiology & virology,,0.979651689529419,
plant biochemistry and molecular biology,plant physiology and molecular biology,,0.9719526171684265,
campus vii,campus viii,,0.9629534482955933,
ludwig boltzmann digital health and prevention,ludwig boltzmann cancer research,,0.7458999156951904,
laboratory of genetics,laboratory of human genetics,,0.9782160520553589,
conservation services,preservation services,,0.878001868724823,
iran ministry of health and medical education,ministry of education iran,,0.843427836894989,
state key laboratory of rail traffic control and safety,state key laboratory of rail transit vehicle system,,0.9103655815124512,
kidney transplantation,kidney transplant,,0.9915258884429932,
osteopathic medicine in arizona,arizona osteopathic medicine,,0.8210655450820923,
"lingue, letterature e culture moderne",lingue e letterature straniere e culture moderne,,0.9501452445983887,
office technology and management,management and technology,,0.8560530543327332,
international agency for research on cancer,cancer research center,,0.7517713308334351,
wsp canada,cgi canada,gslis,0.7868711948394775,0.5758072733879089
coordination of management course,coordinating courses,,0.8675699830055237,
entertainment,entertainment industries,,0.8612500429153442,
pharmacology/toxicology,pharmacology-toxicology,,0.9925477504730225,
national agricultural technology,national agricultural technology institute,,0.8670214414596558,
educational measurement and evaluation,measurement and evaluation in education,,0.9780664443969727,
irrigation & drainage,irrigation and drainage,,0.998242974281311,
order of nurses,nurse,,0.7818065881729126,
vladimir andrunachievici mathematics and computer science,computer science and mathematics,,0.7239171266555786,
3rd international school on beam dynamics and accelerator technology,2nd international school on beam dynamics and accelerator technology,,0.8821846842765808,
ivm,ivs,,0.8550577163696289,
institut national des sciences appliquées de lyon,institut national des sciences appliquées de toulouse,,0.9521838426589966,
"fflch - philosophy, letters and human sciences",ifch - philosophy and human sciences,,0.8734243512153625,
physiscs,physisc,,0.9513702392578125,
leonard davis health economics,leonard davis gerontology,,0.7627749443054199,
research & development centre,research and development centre,,0.9960870742797852,
practice of medicine,medical practice,,0.9474146366119385,
precision instruments and opto-electronics engineering,precision instrument and opto-electronics engineering,,0.9935554265975952,
fisheries oceanography and marine ecology,marine biology and ecology,,0.8900846242904663,
studio art,studio arts,,0.9424726963043213,
rose hulman technology,rose–hulman technology,,0.9728742837905884,
ecosystems and environment,environmental systems,,0.9268976449966431,
central population studies,population studies,,0.859969437122345,
infrastructure secretariat,infrastructure department,,0.8403154611587524,
synopsys,synopsys inc,,0.9512101411819458,
mangement,manangement,,0.813471794128418,
chemical and environmental process engineering,chemical and environmental engineering,,0.9710369110107422,
gerontologia social,gerontologia,,0.9007982015609741,
knrtu-kai,tsu,,0.7792284488677979,
gas processing center,petroleum engineering,,0.6796245574951172,
escuela normal superior de méxico,escuela normal superior,,0.8440408110618591,
design of architectural environment,architectural environment design,,0.9563747644424438,
ant group,sensetime group,,0.770065426826477,
behavioral sciences and mental health,neurosciences and mental health,,0.9073042273521423,
graphic,graphics,,0.9089818000793457,
russian scientific center of surgery,bakulev scientific center for cardiovascular surgery russian academy of medical sciences,"mathematical problems of biology, russian academy of sciences",0.8555834293365479,0.6809549331665039
caris life sciences united states,dept. of life sciences,,0.7981594204902649,
public prosecutor's office,public prosecutor&#39;s office,,0.8884807825088501,
pediatric anesthesiology,pediatric medicine,,0.9198148250579834,
environmental engineering division,division of environmental science and engineering,,0.9400743246078491,
national polytechnic toulouse,national polytechnic institute,,0.9251600503921509,
social policy & practice,social policy and practice,,0.9972051978111267,
obstetrics and gynecology department,obstetric and gynecology department,,0.982820451259613,
graduate science,"graduate science,",,0.9785277843475342,
"design, production and management",design and manufacturing,,0.831294059753418,
address research and technological development,research and technological development,,0.954451322555542,
climate,climate and environment,,0.9465072154998779,
physical department,physical-technical department,,0.8905735015869141,
forest entomology and protection,forest entomology,,0.9431395530700684,
electrcial engineering,electrical engineering,,0.9748661518096924,
taylor & francis group,taylor and francis group,,0.9873625040054321,
reproductive biology laboratory,laboratory of reproductive biology,,0.9003893136978149,
biodiversity and biotechnology,biotechnology and biodiversity,,0.9482376575469971,
医生物学研究所 / life and medical sciences lime,"生命科学研究科生理科学専攻/ physiological sciences, life science",,0.9348582029342651,
