simple_cleaned,Field,is_STEM,preds
Mechanical and Industrial Engineering,Industrial Engineering,True,0.9823626317593254
"Industrial and Systems Engineering, Fitts Department of",Industrial Engineering,True,0.9880365396676856
"Industrial and Systems Engineering, Fitts Department of",Systems Engineering,True,0.9880365396676856
Industrial and Enterprise Systems Engineering,Industrial Engineering,True,0.9892448294009484
Industrial and Enterprise Systems Engineering,Systems Engineering,True,0.9892448294009484
Industrial and Manufacturing Engineering,Industrial Engineering,True,0.9662592027160957
Industrial Engineering,Industrial Engineering,True,0.9709326078377079
Industrial and Operations Engineering,Operations Research,True,0.9929589397251609
Industrial and Operations Engineering,Industrial Engineering,True,0.9929589314143215
Computer Science,Computer Science,True,0.9956082079464144
Systems and Enterprises,Management,False,0.2814632434485121
Systems and Enterprises,Systems Engineering,True,0.2814632434485121
Applied Mathematics and Statistics,Operations Research,True,0.9850165334116193
Applied Mathematics and Statistics,Statistics,True,0.9850165334116193
Applied Mathematics and Statistics,,True,0.9850165334116193
Electrical and Computer Engineering,Electrical Engineering,True,0.9805398649062305
Electrical and Computer Engineering,Computer Engineering,True,0.9805398649062305
Applied Physiology,Physiology,True,0.8499239231046142
Applied Physiology,Biological Sciences,True,0.8499239231046142
Materials Science and Engineering,Materials Engineering,True,0.9632220786865109
Mechanical Engineering and Materials Science,Mechanical Engineering,True,0.9597034888921735
Operations Management,Management,False,0.1553783236359458
Operations Management,Operations Research,True,0.1553783236359458
Industrial Design,,False,0.26692490598383956
Mechanical Engineering and Mechanics,,True,0.953751157690007
Mechanical Engineering and Mechanics,Mechanical Engineering,True,0.953751157690007
Mechanical and Nuclear Engineering,Mechanical Engineering,True,0.9929439523468501
Mechanical and Nuclear Engineering,,True,0.9929439523468501
Information Technology Management,Information Technology,True,0.7299155814896705
Mechanical and Civil Engineering,Mechanical Engineering,True,0.9822598822503066
Mechanical and Civil Engineering,Civil Engineering,True,0.9822598822503066
Computing and Mathematical Science,Computer Science,True,0.9980728864785415
Computing and Mathematical Science,,True,0.9980728864785415
Architecture,Architecture,False,0.0013030301484106617
Architectural Engineering,Architecture,False,0.17456318119234035
Automotive Engineering,Mechanical Engineering,True,0.9932885578970796
Bioengineering,Biomedical Engineering,True,0.9432150604485072
Bioengineering,Agricultural Engineering,True,0.9432150604485072
Computer Science,Information Technology,True,0.9956082079464144
"Computing, Informatics and Decision Systems Engineering, School of - Computer Science Faculty",Computer Science,True,0.9955266522863864
"Computing, Informatics and Decision Systems Engineering, School of - Computer Science Faculty",Systems Engineering,True,0.9955266522863864
"Computing, Informatics and Decision Systems Engineering, School of - Computer Science Faculty",Information Technology,True,0.9955266522863864
Computer Science and Engineering,Computer Science,True,0.9943237632687225
Computer Science and Engineering,Computer Engineering,True,0.9943237632687225
Electrical Engineering,Electrical Engineering,True,0.9425644358464345
Interactive Computing,,True,0.9960397541861268
Management Science,Management Information Systems,False,0.010559957355465003
Management,Management,False,0.0011393285683098464
Organizational Behavior,,False,0.011096742338116264
Marketing,Marketing,False,0.0007759897576342855
Applied Economics and Management,,False,0.006641405760618663
Applied Economics and Management,Management,False,0.006641405760618663
Accounting,Accounting,False,0.003145972776140332
Finance,Finance,False,0.005709567160922199
"Finance, Managerial Economics, and Real Estate, Area in",Finance,False,0.018561324365748512
Finance and Economics,Finance,False,0.0061736937758173766
Finance and Economics,Economics,False,0.0061736937758173766
Finance and Managerial Economics,Management,False,0.010023308715769372
Finance and Managerial Economics,Economics,False,0.010023308715769372
Finance and Managerial Economics,Finance,False,0.010023308715769372
Accountancy,Accounting,False,0.008015664304157524
Managerial Sciences,Management,False,0.10737632185776995
Operations and Decision Technologies,Operations Research,True,0.7139668531759453
Technology and Operations Management Unit,,False,0.1439150978118137
"Business, Goizueta School of",Business Administration,False,0.0901318941200362
Strategy and Innovation,,False,0.005245454514421059
Chemistry,Chemistry,True,0.9891897977464874
"Energy, Environmental and Chemical Engineering",Chemical Engineering,True,0.9967248663402118
"Energy, Environmental and Chemical Engineering",Environmental Engineering,True,0.9967248663402118
Chemical and Biomolecular Engineering,Chemical Engineering,True,0.9974896270304093
Chemical and Biomolecular Engineering,Agricultural Engineering,True,0.9974896270304093
Materials Engineering,Materials Engineering,True,0.9760478264030621
Bioengineering and Therapeutic Sciences,Agricultural Engineering,True,0.9320093656543669
Bioengineering and Therapeutic Sciences,Biomedical Engineering,True,0.9320093656543669
Pharmacology,Pharmacology,True,0.9987037143569802
Computational Science and Engineering,,True,0.9919513236665594
Computer and Information Science,Computer Science,True,0.9914249661323042
Computer and Information Science,Information Science,True,0.9914249661323042
Electrical Engineering and Computer Science,Computer Engineering,True,0.9773805764891661
Electrical Engineering and Computer Science,Electrical Engineering,True,0.9773805764891661
Electrical Engineering and Computer Science,Computer Science,True,0.9773805764891661
Electrical Engineering and Computer Sciences,Electrical Engineering,True,0.9797361975508034
Electrical Engineering and Computer Sciences,Computer Science,True,0.9797361975508034
Computer and Information Science and Engineering,Computer Science,True,0.9878913915585249
Computer and Information Science and Engineering,Computer Engineering,True,0.9878913915585249
Machine Learning,Computer Science,True,0.9841032964808237
Environmental Health,Environmental Health Sciences,False,0.16398686177527022
Civil and Environmental Engineering and Construction ,Civil Engineering,True,0.9479647383692299
Civil and Environmental Engineering and Construction ,Environmental Engineering,True,0.947964404502882
City and Regional Planning,,False,0.005127679995635496
Sustainable Engineering and The Built Environment,Civil Engineering,True,0.9449056470805445
Earth and Atmospheric Sciences,Atmospheric Sciences and Meteorology,True,0.878253007830374
Earth and Atmospheric Sciences,Geology,True,0.878253007830374
Civil Engineering,Civil Engineering,True,0.9436196760497614
Chemical and Environmental Engineering,Environmental Engineering,True,0.9922045488792361
Chemical and Environmental Engineering,Chemical Engineering,True,0.9922045488792361
"Civil, Architectural and Environmental Engineering",Civil Engineering,True,0.9459727568925838
"Civil, Architectural and Environmental Engineering",Environmental Engineering,True,0.9459727568925838
Engineering Leadership and Society,,True,0.7500707242661461
Genome Science and Technology,Genetics,True,0.8808646504908164
Genome Science and Technology,,True,0.8808646504908164
Microbiology,Microbiology,True,0.9963209722984143
"Literature, Media, and Communication",English Language and Literature,False,0.0021366307677192055
"Literature, Media, and Communication",Mass Communications and Media Studies,False,0.0021366307677192055
Information,Information Science,True,0.6416482133471109
Music,Music,False,0.0010143941893110404
Cell Biology and Neuroscience,Veterinary Medical Sciences,True,0.9977480700206878
Cell Biology and Neuroscience,Microbiology,True,0.9977480700206878
Cell Biology and Neuroscience,Immunology,True,0.9977480700206878
Cell Biology and Neuroscience,Cell Biology,True,0.9977480700206878
Cell Biology and Neuroscience,Neuroscience,True,0.9977480700206878
Biological Sciences,Biological Sciences,True,0.9687062976648125
Molecular Biosciences,Biochemistry,True,0.9977466051950727
Molecular Biosciences,Molecular Biology,True,0.9977466051950727
Molecular Biosciences,Cell Biology,True,0.9977466051950727
Molecular Biosciences,,True,0.9977466051950727
"Molecular Genetics and Microbiology, Section of",Microbiology,True,0.9987065112725529
"Molecular Genetics and Microbiology, Section of",,True,0.9987065112725529
Ecology and Evolutionary Biology,Ecology,True,0.9910405318709472
Ecology and Evolutionary Biology,Evolutionary Biology,True,0.9910405318709472
Applied Physics and Materials Science,Materials Engineering,True,0.9096723560698923
Applied Physics and Materials Science,,True,0.9096723560698923
Physics and Astronomy,Physics,True,0.9809656233140249
Physics and Astronomy,Astronomy,True,0.9809656233140249
Geoscience,Geology,True,0.8743555575572544
Geoscience,,True,0.8743555575572544
Earth and Ocean Sciences,Geology,True,0.9885332295810529
Earth and Ocean Sciences,Marine Sciences,True,0.9885332295810529
Earth Sciences,Geology,True,0.9132368046780469
"Earth, Environmental, and Planetary Sciences",Geology,True,0.967033906067142
Educational Psychology and Special Education,Curriculum and Instruction,False,0.004949410591937281
Educational Psychology and Special Education,Special Education,False,0.004949410591937281
Educational Psychology and Special Education,Educational Psychology,False,0.004949410591937281
Middle and Secondary Education,,False,0.004756768487068371
Chemical and Biomolecular Engineering,Biomedical Engineering,True,0.9974896270304093
Chemical and Biological Engineering,Agricultural Engineering,True,0.9861705718329261
Chemical and Biological Engineering,Chemical Engineering,True,0.9861705718329261
Electrical and Systems Engineering,Electrical Engineering,True,0.9534005939260772
Electrical and Systems Engineering,Systems Engineering,True,0.9534005939260772
Chemical and Biomedical Engineering,Biomedical Engineering,True,0.9814229185079298
Chemical and Biomedical Engineering,Chemical Engineering,True,0.9814229185079298
"Molecular Pharmacology, Physiology and Biotechnology",Physiology,True,0.9994279375778194
"Molecular Pharmacology, Physiology and Biotechnology",,True,0.9994279375778194
Chemical and Biomedical Engineering,Materials Engineering,True,0.9814229185079298
Chemical Engineering,Chemical Engineering,True,0.9844134272248501
Management Information Systems,Management Information Systems,False,0.061705722709024434
Urban and Environmental Planning,Public Policy,False,0.014394873614772102
Urban and Environmental Planning,Urban and Regional Planning,False,0.014394873614772102
Geography,Geography,False,0.04617387030806774
Geographical Sciences and Urban Planning,Urban and Regional Planning,False,0.006375270757132796
Geographical Sciences and Urban Planning,Geography,False,0.006375270757132796
Public Affairs,Public Administration,False,0.0007907333176427544
City Planning and Real Estate Development,Urban and Regional Planning,False,0.005357655758616203
Urban Studies Institute,Urban and Regional Planning,False,0.07908960935279463
Biomedical Informatics,,True,0.9710352033691187
"History, Technology and Society",History,False,0.005214956023084197
Afroamerican and African Studies,,False,0.0014559308783953118
History,History,False,0.009328813572455245
Community Sustainability,Environmental Sciences,True,0.17611548951560252
Community Sustainability,Human Development and Family Sciences,False,0.17611548951560252
Kinesiology and Health,"Exercise Science, Kinesiology, Rehab, Health",False,0.020295184754520884
History of Science,History,False,0.08590788002817794
"Media, Culture and Communication",Mass Communications and Media Studies,False,0.002261809820080805
English,English Language and Literature,False,0.0015621523615975883
Education,Education,False,0.0010753535201967447
English and Comparative Literature,English Language and Literature,False,0.023248941347326912
Art + Design,Art History and Criticism,False,0.0012460190032410386
Information Studies,Information Science,True,0.7394286380375006
Urban Studies and Planning,Urban and Regional Planning,False,0.002759460063693372
Human and Organizational Development,Human Development and Family Sciences,False,0.012912240383676532
International Affairs,International Affairs,False,0.0011703908854733248
Public Policy and Administration,Public Policy,False,0.00606281252603017
Public Policy and Administration,Public Administration,False,0.00606281252603017
Public and Environmental Affairs,Public Policy,False,0.23290213810894816
Management and Organization,Management,False,0.0034466027336192196
"Accounting, Fisher School of",Accounting,False,0.060590097212902136
Building Construction,Architecture,False,0.3431729168567114
"Architecture, Planning and Landscape Architecture",Architecture,False,0.004443167544816983
Economics,Economics,False,0.013195623490634526
Political Science Department,Political Science,False,0.01854416040506975
Economics and Finance,Finance,False,0.0031609617571357928
Economics and Finance,Economics,False,0.0031609617571357928
"Economics, Finance and Legal Studies",Finance,False,0.010780348494882292
"Economics, Finance and Legal Studies",Economics,False,0.010780348494882292
Forestry and Wildlife Sciences,Forestry and Forest Resources,True,0.9987563698301827
Forestry and Wildlife Sciences,,True,0.9987563698301827
Health Administration and Policy,Public Health,False,0.01817067911273855
Modern Languages,,False,0.002073420221743952
Gender and Women's Studies,Gender Studies,False,0.00013073988410772884
Theatre,"Theatre Literature, History and Criticism",False,0.022041148946424408
Media and Cinema Studies,Mass Communications and Media Studies,False,0.0019249672899348288
Germanic Languages and Literatures,Germanic Languages and Literatures,False,0.003738695803518997
International Studies,French Language and Literature,False,0.0007307103694776691
International Studies,Classics and Classical Languages,False,0.0007307103694776691
International Studies,Slavic Languages and Literatures,False,0.0007307103694776691
International Studies,Germanic Languages and Literatures,False,0.0007307103694776691
Applied Mathematics Area,,True,0.945664639597014
Philosophy,Philosophy,False,0.01487665176790949
Molecular and Cell Biology,Molecular Biology,True,0.9998314821621674
Molecular and Cell Biology,Cell Biology,True,0.9998314821621674
Biology and Biological Engineering,Biological Sciences,True,0.9663459470389404
Biology and Biological Engineering,Agricultural Engineering,True,0.9663459470389404
Computer Science Area,Computer Science,True,0.9986233268447162
"Institute for Data, Systems, and Society (IDSS)",Systems Engineering,True,0.5179188792792541
Aeronautics and Astronautics,Aerospace Engineering,True,0.9479449382149285
Mechanical and Aerospace Engineering,Aerospace Engineering,True,0.9346559101724369
Mechanical and Aerospace Engineering,Mechanical Engineering,True,0.9346559101724369
Integrative Biology,Biological Sciences,True,0.9857848165222443
Integrative Biology,Ecology,True,0.9857848165222443
Neuroscience Institute,Neuroscience,True,0.8893947489249954
Engineering Sciences,,True,0.9347495288476667
History and Philosophy of Medicine,History,False,0.10275225578057276
History and Philosophy of Medicine,Philosophy,False,0.10275225578057276
"Gender, Women's, and Sexuality Studies",Gender Studies,False,0.00013891359603086483
International Studies,International Affairs,False,0.0007307103694776691
Classics,Classics and Classical Languages,False,0.0021201255615763254
Near Eastern Studies,Near and Middle Eastern Languages and Cultures,False,0.0036275249451714455
Anthropology,Anthropology,False,0.01154747460669666
South and Southeast Asian Studies,Asian Studies,False,0.0001651329646501243
History of Art,Art History and Criticism,False,0.00043114308688777566
"Administration, Leadership and Technology",Education Administration,False,0.08901829519638961
Education,,False,0.0010753535201967447
Education,Curriculum and Instruction,False,0.0010753535201967447
Education,Educational Psychology,False,0.0010753535201967447
Education,Education Administration,False,0.0010753535201967447
Teaching and Learning - Curriculum and Instruction,Curriculum and Instruction,False,0.005638262514822321
Teaching and Learning,Curriculum and Instruction,False,0.007018006849071714
Teaching and Learning,,False,0.007018006849071714
Education and Social Policy,Education,False,0.0024852749793587677
Education and Social Policy,Human Development and Family Sciences,False,0.0024852749793587677
African American Studies,,False,0.00046960793246406666
Graduate School of Education,Education,False,0.08606760885639977
Educational Leadership,Education Administration,False,0.015569534534298397
Political Science,Political Science,False,0.0013093479245971447
Curriculum and Teaching,Curriculum and Instruction,False,0.004313263200758024
"Educational Foundations, Leadership & Counseling",Education Administration,False,0.002796120463810655
"Educational Foundations, Leadership & Counseling",Counselor Education,False,0.002796120463810655
"Educational Foundations, Leadership & Counseling",,False,0.002796120463810655
"Counseling, Clinical and School Psychology",,False,0.002552002016818924
German,Germanic Languages and Literatures,False,0.0005954425014370194
Business,Business Administration,False,0.0025240532618787887
Hotel Administration,,False,0.023885008608539933
Business School - Operations Management and Business Analytics,Operations Research,True,0.4849164514337854
Organizational Behavior Unit,,False,0.009255319144528235
Entrepreneurial Manangement Unit,,False,0.02401048339149885
Health Care Management,,False,0.006213724345598337
Agricultural and Resource Economics,Agricultural Economics,False,0.11197585985492034
Public Health,Public Health,False,0.020386606361277853
Public and International Affairs,International Affairs,False,0.002866985848936336
Public and International Affairs,Public Administration,False,0.002866985848936336
Public and International Affairs,Public Policy,False,0.002866985848936336
Operations and Technology Management,Operations Research,True,0.47570598366792166
Operations and Technology Management,Management Information Systems,False,0.47570598366792166
Sociology,Sociology,False,0.003116580511409143
Business,Management,False,0.0025240532618787887
"Business, Booth School of",Business Administration,False,0.17478159827316472
"Public Policy, Harris School of",Public Policy,False,0.026575662007266097
Health Policy and Management,Public Health,False,0.005339318257103523
Environmental Health Sciences,Environmental Health Sciences,False,0.05027499448995937
Biostatistics,Biostatistics,True,0.9103396281207168
Behavioral Science,,False,0.18657128913520768
Environmental Science,Environmental Sciences,True,0.919062572140648
City and Regional Planning,Urban and Regional Planning,False,0.005127679995635496
Nutritional Science and Toxicology,Nutrition Sciences,False,0.9274089259495245
Nutritional Science and Toxicology,,True,0.9274089259495245
Plant and Microbial Biology,Plant Sciences,True,0.9998464321921203
Plant and Microbial Biology,,True,0.9998464321921203
"Environmental Science, Policy and Management",Environmental Sciences,True,0.8235891775116005
"Civil, Architectural, and Environmental Engineering",Civil Engineering,True,0.9181863188353665
"Civil, Architectural, and Environmental Engineering",Environmental Engineering,True,0.9181863188353665
"Civil, Architectural, and Environmental Engineering",Architecture,False,0.9181863188353665
Social Welfare,Social Work,False,0.001864786741817282
"Anthropology, History and Social Medicine",Anthropology,False,0.01192442371247003
"Anthropology, History and Social Medicine",History,False,0.01192442371247003
Nutrition,Nutrition Sciences,False,0.05211852815547642
Epidemiology and Biostatistics,Biostatistics,True,0.9940544260835582
Epidemiology and Biostatistics,Epidemiology,True,0.994054430411292
Social Work,Social Work,False,0.0005930711324256953
Psychology and Social Behavior,Psychology,False,0.06768001045339984
"Criminology, Law and Society",Criminal Justice and Criminology,False,0.02948411605492347
Scandinavian,,False,0.04206831076367039
Asian Languages and Cultures,Asian Studies,False,4.163939502410872e-05
Asian Languages and Cultures,Asian Languages,False,4.163939502410872e-05
Nordic Languages and Literature,,False,0.0008396358635455959
Pathology,Pathology,True,0.9930098167425099
Biophysics and Biophysical Chemistry,Biophysics,True,0.9821325245323834
"Molecular, Cellular and Developmental Biology",,True,0.998972899297042
"Molecular, Cellular and Developmental Biology",Molecular Biology,True,0.998972899297042
"Molecular, Cellular and Developmental Biology",Cell Biology,True,0.998972899297042
Microbiology and Immunology,Microbiology,True,0.9962971139149006
Microbiology and Immunology,Immunology,True,0.9962971139149006
Molecular Genetics,,True,0.9997713667217505
Biological Chemistry and Pharmacology,Biochemistry,True,0.9965419234752986
Molecular Biology,Molecular Biology,True,0.999816005749684
Physiology and Cellular Biophysics,Biophysics,True,0.9987302714413018
Physiology and Cellular Biophysics,Physiology,True,0.9987302714413018
Biochemistry,Biochemistry,True,0.9871215548421132
Microbiology and Molecular Genetics,Microbiology,True,0.9989507234938584
Microbiology and Molecular Genetics,,True,0.9989507234938584
Integrative Plant Science,Plant Sciences,True,0.99084879965876
Integrative Plant Science,,True,0.99084879965876
Ethnic Studies,,False,0.001842238568520628
Chicana and Chicano Studies,,False,0.0002021910382811113
Public Policy,Public Policy,False,0.002506153621807997
Latino and Hispanic Caribbean Studies,,False,0.0014872296766689631
Women's and Gender Studies,Gender Studies,False,0.0001067109540633108
Iberian and Latin American Cultures,Spanish Language and Literature,False,0.0008237041587021002
Comparative Literature,Comparative Literature,False,0.040241717554843466
English Language and Literature,English Language and Literature,False,0.01025447769247351
Rhetoric,,False,0.001003008444713917
"Theater, Dance and Performance Studies","Theatre Literature, History and Criticism",False,0.005396752423689434
Spanish and Portuguese,Spanish Language and Literature,False,0.002037094018647925
French,French Language and Literature,False,0.0012796617298512251
Slavic Languages and Literatures,Slavic Languages and Literatures,False,0.022555116648764188
East Asian Languages and Cultures,Asian Languages,False,7.715833116425819e-05
East Asian Languages and Cultures,Asian Studies,False,7.715833116425819e-05
Italian Studies,,False,0.008736948762926043
International and Public Affairs,International Affairs,False,0.0024436912202937594
Urban Planning,Urban and Regional Planning,False,0.0028250565049858377
Urban Planning and Design,Urban and Regional Planning,False,0.0012939849694203918
Landscape Architecture and Environmental Planning,,False,0.1013356333486255
"Urban Design, Program in",Urban and Regional Planning,False,0.0050230679522059165
"Architecture, Planning and Preservation",Architecture,False,0.0011590305180193556
"Architecture, Planning and Preservation",Urban and Regional Planning,False,0.0011590305180193556
"International Affairs, Management, and Urban Policy, Milano School of",International Affairs,False,0.060102631039415357
"International Affairs, Management, and Urban Policy, Milano School of",Management,False,0.060102631039415357
"International Affairs, Management, and Urban Policy, Milano School of",Public Policy,False,0.060102631039415357
Epidemiology,Epidemiology,True,0.9940711939660394
Physiology,Physiology,True,0.9876012242933451
Civil and Urban Engineering (Polytechnic Institute),Civil Engineering,True,0.669715462849932
Earth and Planetary Science,Geology,True,0.9344941326131261
Earth and Planetary Science,Atmospheric Sciences and Meteorology,True,0.9344941326131261
Fire Protection Engineering,,True,0.6898166525289163
"Mechanical, Materials and Aerospace Engineering",Materials Engineering,True,0.9373403190076732
"Mechanical, Materials and Aerospace Engineering",Aerospace Engineering,True,0.9373403190076732
"Mechanical, Materials and Aerospace Engineering",Mechanical Engineering,True,0.9373403190076732
Art History and Archaeology,Art History and Criticism,False,0.0018986930650560685
Art History and Archaeology,,False,0.0018986930650560685
Art History,Art History and Criticism,False,0.0005793079085102025
Film and Media Studies,Mass Communications and Media Studies,False,0.00535639695470904
Art History and Archaeology,Anthropology,False,0.0018986930650560685
Pharmaceutical Chemistry,Pharmaceutical Sciences,True,0.9980964305498666
Cellular and Molecular Pharmacology,,True,0.9999382124878423
Cellular and Molecular Pharmacology,Pharmacology,True,0.9999382124878423
"Information School, The",Information Science,True,0.8634397198217446
Information Science,Information Science,True,0.9294338215843959
Materials Science and Engineering,,True,0.9632220786865109
Applied Physics,,True,0.9739587298566018
"Negotiation, Organizations and Markets Unit",,False,0.03726781298014752
"Public Policy, McCourt School of",Public Policy,False,0.0023888262012792872
Economics (GSAS),Economics,False,0.23187225058292554
Economics (SOB),Economics,False,0.06012709944106094
Neuroscience,Neuroscience,True,0.8895264532436166
Brain and Cognitive Sciences,Neuroscience,True,0.6742843431312163
Brain and Cognitive Sciences,,True,0.6742843431312163
Brain and Cognitive Sciences,Psychology,False,0.6742843431312163
Molecular and Cellular Physiology,Physiology,True,0.9996523277760458
Astronomy,Astronomy,True,0.9634010809133102
Astrophysical Sciences,Astronomy,True,0.9795770620587365
"Jewish, Islamic, and Near Eastern Languages and Cultures",,False,0.0001432244867000047
Journalism,Mass Communications and Media Studies,False,0.0001918559398178702
Human Rights,Philosophy,False,4.767123109079235e-05
"Genetics, GIDP",Genetics,True,0.8756767476357388
Entomology,Entomology,True,0.9993178867514327
Natural Resource Management,Natural Resources,True,0.906394041339136
Pathology and Anatomical Sciences,Anatomy,True,0.9954976296495174
Pathology and Anatomical Sciences,Pathology,True,0.9954976296495174
East Asian Studies,Asian Studies,False,0.0005054644126332098
Asian Studies Program,Asian Studies,False,0.0005819001455147656
International Letters and Cultures,Spanish Language and Literature,False,0.00031536025490434903
Government,Political Science,False,0.1339233473191724
Government,Public Policy,False,0.1339233473191724
Cell Biology,Cell Biology,True,0.998875795175304
Physiological Sciences,Physiology,True,0.970031391207919
Molecular and Cellular Biology,Cell Biology,True,0.9998327588552247
Molecular and Cellular Biology,Molecular Biology,True,0.9998327588552247
Molecular and Human Genetics,,True,0.996200830182433
Russian and Eurasian Studies,,False,0.003544213579657545
Conservatory of Music,Music,False,0.005524242658346425
Italian,,False,0.03574853285546538
Politics and Global Studies,Political Science,False,0.006226663472626659
Politics and Global Studies,International Affairs,False,0.006226663472626659
"Leadership, Policy and Organizations",Education Administration,False,0.005921785153887977
Public Affairs,Public Policy,False,0.0007907333176427544
Politics,Political Science,False,0.005732561706756759
Biology - Ecology and Evolutionary (EBIO),Biological Sciences,True,0.982148027010909
Biology - Ecology and Evolutionary (EBIO),Ecology,True,0.982148027010909
Biology - Ecology and Evolutionary (EBIO),Evolutionary Biology,True,0.982148027010909
Biological Sciences,Biological Sciences,True,0.9687062187001032
American Studies,,False,0.00012367773431192842
Environmental Sciences,Environmental Sciences,True,0.943511454643574
Sustainability,Natural Resources,True,0.7592477435265185
Women's Studies,Gender Studies,False,0.00030103555781157813
Architecture,,False,0.0013030301484106617
Planning and Urban Studies,Urban and Regional Planning,False,0.0035658748154888424
Landscape Architecture,,False,0.45295282321364033
Earth and Space Sciences,Astronomy,True,0.9197890157160478
Earth and Space Sciences,Geology,True,0.9197890157160478
Geology and Geophysics,,True,0.9741204062391216
Geology and Geophysics,Geology,True,0.9741204062391216
German Studies,Germanic Languages and Literatures,False,0.0011858675714616026
German and Slavic Languages,Slavic Languages and Literatures,False,0.002498956132783006
German and Slavic Languages,Germanic Languages and Literatures,False,0.002498956132783006
"Women's, Gender, and Sexuality Studies",Gender Studies,False,0.000116581368726788
"History of Art, Department of The",Art History and Criticism,False,0.005714584850631438
Art,Art History and Criticism,False,0.0011851302719467734
Business Economics and Public Policy,Public Policy,False,0.005252163271240086
Business Economics and Public Policy,Business Administration,False,0.005252163271240086
Global Policy and Strategy,International Affairs,False,0.004297178551722152
Nuclear Engineering,,True,0.9859744828202734
"Latin American Studies, The Roger Thayer Stone Center for",,False,0.06338748869097947
Global and Sociocultural Studies,Sociology,False,0.0020441582725898456
Global and Sociocultural Studies,Anthropology,False,0.0020441582725898456
Global and Sociocultural Studies,Geography,False,0.0020441582725898456
Materials,Materials Engineering,True,0.9302895612135259
South Asian Languages and Civilizations,Asian Languages,False,0.0002485469592243342
South Asian Languages and Civilizations,Asian Studies,False,0.0002485469592243342
Religious Studies,Religious Studies,False,0.0007397701498997586
Engineering Physics,,True,0.9831489747406543
"Applied and Computational Mathematics, Program in",,True,0.9978160126455163
Mathematics and Computer Science,Computer Science,True,0.9887143476729114
Mathematics and Computer Science,Mathematics,True,0.9887143476729114
Applied Physics and Applied Mathematics,,True,0.929146900545257
Biomedical Sciences,,True,0.9228595617227262
Civil Engineering and Engineering Mechanics,Civil Engineering,True,0.9541420116145843
Civil Engineering and Engineering Mechanics,,True,0.9541420116145843
Earth and Environmental Engineering,Environmental Engineering,True,0.9868124109551228
Earth and Environmental Engineering,,True,0.9868124109551228
Systems Biology,,True,0.997528231715638
Population and Family Health,Public Health,False,0.030439109601411486
Business School - Management and Organization,Management,False,0.05228656847997977
Global Health and Population,Public Health,False,0.12235920474573905
Health Systems and Policy,Public Health,False,0.012749283499796574
Public Service,Public Administration,False,0.008178570624923899
Public Service,Public Policy,False,0.008178570624923899
"Markets, Public Policy, and Law",Public Policy,False,0.02466206786119953
Population Health Science and Policy,Public Health,False,0.1569528548224686
Nursing,Nursing,False,0.002451117529338144
Mathematics and Statistics,Mathematics,True,0.9850687782187444
Mathematics and Statistics,Statistics,True,0.9850687782187444
Applied Mathematics,,True,0.9349162463800488
Management Science and Engineering,Management,False,0.22100524601493837
Statistics and Operations Research,Operations Research,True,0.9400994972244991
