DepartmentName,Field,Area,Umbrella,is_STEM
"Sustainable Engineering and The Built Environment, School of",Civil Engineering,Engineering,Engineering,True
"Earth and Atmospheric Sciences, School of",Atmospheric Sciences and Meteorology,Physical Sciences,Natural Sciences,True
"Earth and Atmospheric Sciences, School of",Geology,Earth Sciences,Natural Sciences,True
"Civil Engineering, Department of",Civil Engineering,Engineering,Engineering,True
"Chemical and Environmental Engineering, Department of",Environmental Engineering,Engineering,Engineering,True
"Chemical and Environmental Engineering, Department of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Civil, Architectural and Environmental Engineering, Department of",Civil Engineering,Engineering,Engineering,True
"Civil, Architectural and Environmental Engineering, Department of",Environmental Engineering,Engineering,Engineering,True
"Engineering Leadership and Society, Department of",,Engineering,Engineering,True
"Engineering Leadership and Society, Department of",,,,
"Genome Science and Technology, Graduate School of",Genetics,Medical Sciences,Medicine,True
"Genome Science and Technology, Graduate School of",,Medical Sciences,Medicine,True
"Microbiology, Department of",Microbiology,Biological Sciences,Natural Sciences,True
"Literature, Media, and Communication, School of",English Language and Literature,"Language, Literature, Culture",Humanities,False
"Literature, Media, and Communication, School of",Mass Communications and Media Studies,"Journalism, Media, Communication","Journalism, Media, Communication",False
"Information, School of",Information Science,Computational Sciences,Mathematics and Computing,True
"Music, School of",Music,Arts,Humanities,False
"Cell Biology and Neuroscience, Department of",Veterinary Medical Sciences,Medical Sciences,Medicine,True
"Cell Biology and Neuroscience, Department of",Microbiology,Biological Sciences,Natural Sciences,True
"Cell Biology and Neuroscience, Department of",Immunology,Medical Sciences,Medicine,True
"Cell Biology and Neuroscience, Department of",Cell Biology,Biological Sciences,Natural Sciences,True
"Cell Biology and Neuroscience, Department of",Neuroscience,Biological Sciences,Natural Sciences,True
"Biological Sciences, Division of",Biological Sciences,Biological Sciences,Natural Sciences,True
"Molecular Biosciences, Department of",Biochemistry,Biological Sciences,Natural Sciences,True
"Molecular Biosciences, Department of",Molecular Biology,Biological Sciences,Natural Sciences,True
"Molecular Biosciences, Department of",Cell Biology,Biological Sciences,Natural Sciences,True
"Molecular Biosciences, Department of",,Biological Sciences,Natural Sciences,True
"Molecular Genetics and Microbiology, Section of",Microbiology,Biological Sciences,Natural Sciences,True
"Molecular Genetics and Microbiology, Section of",,Medical Sciences,Medicine,True
"Ecology and Evolutionary Biology, Department of",Ecology,Biological Sciences,Natural Sciences,True
"Ecology and Evolutionary Biology, Department of",Evolutionary Biology,Biological Sciences,Natural Sciences,True
"Chemistry and Biochemistry, Department of",Chemistry,Chemical Sciences,Natural Sciences,True
"Chemistry and Biochemistry, Department of",Biochemistry,Biological Sciences,Natural Sciences,True
"Applied Physics and Materials Science, Department of",Materials Engineering,Engineering,Engineering,True
"Applied Physics and Materials Science, Department of",,Physical Sciences,Natural Sciences,True
"Physics and Astronomy, Department of",Physics,Physical Sciences,Natural Sciences,True
"Physics and Astronomy, Department of",Astronomy,Physical Sciences,Natural Sciences,True
"Geoscience, Department of",Geology,Earth Sciences,Natural Sciences,True
"Geoscience, Department of",,Physical Sciences,Natural Sciences,True
"Earth and Ocean Sciences, Department of",Geology,Earth Sciences,Natural Sciences,True
"Earth and Ocean Sciences, Department of",Marine Sciences,Earth Sciences,Natural Sciences,True
"Earth Sciences, Department of",Geology,Earth Sciences,Natural Sciences,True
"Earth, Environmental, and Planetary Sciences, Department of",Geology,Earth Sciences,Natural Sciences,True
"Design, School of",,,,
"Educational Psychology and Special Education, Department of",Curriculum and Instruction,Education,Education,False
"Educational Psychology and Special Education, Department of",Special Education,Education,Education,False
"Educational Psychology and Special Education, Department of",Educational Psychology,Psychological Sciences,Social Sciences,False
"Middle and Secondary Education, Department of",,Education,Education,False
"Chemical and Biomolecular Engineering, Department of",Biomedical Engineering,Biological Sciences,Natural Sciences,True
"Chemical and Biological Engineering, Department of",Agricultural Engineering,Engineering,Engineering,True
"Chemical and Biological Engineering, Department of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Electrical and Systems Engineering, Department of",Electrical Engineering,Engineering,Engineering,True
"Electrical and Systems Engineering, Department of",Systems Engineering,Engineering,Engineering,True
"Chemical and Biomedical Engineering, Department of",Biomedical Engineering,Biological Sciences,Natural Sciences,True
"Chemical and Biomedical Engineering, Department of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Molecular Pharmacology, Physiology and Biotechnology, Department of",Physiology,Medical Sciences,Medicine,True
"Molecular Pharmacology, Physiology and Biotechnology, Department of",,Medical Sciences,Medicine,True
"Chemical and Biomedical Engineering, Department of",Materials Engineering,Engineering,Engineering,True
"Chemical Engineering, Department of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Management Information Systems, Department of",Management Information Systems,Business,Business,False
"Urban and Environmental Planning, Department of",Public Policy,Public Administration and Policy,Public Administration and Policy,False
"Urban and Environmental Planning, Department of",Urban and Regional Planning,"Architecture, Design, Planning",Humanities,False
"Geography, Department of",Geography,Geography,Social Sciences,False
"Geographical Sciences and Urban Planning, School of",Urban and Regional Planning,"Architecture, Design, Planning",Humanities,False
"Geographical Sciences and Urban Planning, School of",Geography,Geography,Social Sciences,False
"Public Affairs, School of",Public Administration,Public Administration and Policy,Public Administration and Policy,False
"City Planning and Real Estate Development, Department of",Urban and Regional Planning,"Architecture, Design, Planning",Humanities,False
Urban Studies Institute,Urban and Regional Planning,"Architecture, Design, Planning",Humanities,False
"Biomedical Informatics, Department of",,Biological Sciences,Natural Sciences,True
"History, Technology and Society, School of",History,History,Humanities,False
"Afroamerican and African Studies, Department of",,"Language, Literature, Culture",Humanities,False
"History, Department of",History,History,Humanities,False
"Community Sustainability, Department of",Environmental Sciences,Earth Sciences,Natural Sciences,True
"Community Sustainability, Department of",Human Development and Family Sciences,Health,Health,False
"Kinesiology and Health, Department of","Exercise Science, Kinesiology, Rehab, Health",Health,Health,False
"History of Science, Department of",History,History,Humanities,False
"Media, Culture and Communication, Department of",Mass Communications and Media Studies,"Journalism, Media, Communication","Journalism, Media, Communication",False
"English, Department of",English Language and Literature,"Language, Literature, Culture",Humanities,False
"Education, School of",Education,Education,Education,False
"English and Comparative Literature, Department of",English Language and Literature,"Language, Literature, Culture",Humanities,False
"Visual Arts and Design, School of",,,,
"Art + Design, Department of",Art History and Criticism,"Language, Literature, Culture",Humanities,False
"Information Studies, School of",Information Science,Computational Sciences,Mathematics and Computing,True
"Urban Studies and Planning, Department of",Urban and Regional Planning,"Architecture, Design, Planning",Humanities,False
"Human and Organizational Development, School of",Human Development and Family Sciences,Health,Health,False
"International Affairs, School of",International Affairs,Political Science,Social Sciences,False
"Public Policy and Administration, School of",Public Policy,Public Administration and Policy,Public Administration and Policy,False
"Public Policy and Administration, School of",Public Administration,Public Administration and Policy,Public Administration and Policy,False
"Public and Environmental Affairs, School of",Public Policy,Public Administration and Policy,Public Administration and Policy,False
"Management and Organization, Department of",Management,Business,Business,False
"Accountancy, School of",Accounting,Business,Business,False
"Accounting, Fisher School of",Accounting,Business,Business,False
"Architecture, Department of",Architecture,"Architecture, Design, Planning",Humanities,False
"Building Construction, School of",Architecture,"Architecture, Design, Planning",Humanities,False
"Architecture, Planning and Landscape Architecture, School of",Architecture,"Architecture, Design, Planning",Humanities,False
"Economics, School of",Economics,Economics,Social Sciences,False
Political Science Department,Political Science,Political Science,Social Sciences,False
"Economics and Finance, Department of",Finance,Business,Business,False
"Economics and Finance, Department of",Economics,Economics,Social Sciences,False
"Economics, Finance and Legal Studies, Department of",Finance,Business,Business,False
"Economics, Finance and Legal Studies, Department of",Economics,Economics,Social Sciences,False
"Economics, Department of",Economics,Economics,Social Sciences,False
"Forestry and Wildlife Sciences, School of",Forestry and Forest Resources,Earth Sciences,Natural Sciences,True
"Forestry and Wildlife Sciences, School of",,Earth Sciences,Natural Sciences,True
"Health Administration and Policy, Department of",Public Health,Health,Health,False
"Modern Languages, School of",,"Language, Literature, Culture",Humanities,False
"Gender and Women's Studies, Department of",Gender Studies,Gender Studies,Social Sciences,False
"Theatre, Department of","Theatre Literature, History and Criticism","Language, Literature, Culture",Humanities,False
"Media and Cinema Studies, Department of",Mass Communications and Media Studies,"Journalism, Media, Communication","Journalism, Media, Communication",False
"Germanic Languages and Literatures, Department of",Germanic Languages and Literatures,"Language, Literature, Culture",Humanities,False
"International Studies, Department of",French Language and Literature,"Language, Literature, Culture",Humanities,False
"International Studies, Department of",Classics and Classical Languages,"Language, Literature, Culture",Humanities,False
"International Studies, Department of",Slavic Languages and Literatures,"Language, Literature, Culture",Humanities,False
"International Studies, Department of",Germanic Languages and Literatures,"Language, Literature, Culture",Humanities,False
Applied Mathematics Area,,Mathematical Sciences,Mathematics and Computing,True
"Philosophy, Department of",Philosophy,Philosophy,Humanities,False
"Molecular and Cell Biology, Department of",Molecular Biology,Biological Sciences,Natural Sciences,True
"Molecular and Cell Biology, Department of",Cell Biology,Biological Sciences,Natural Sciences,True
"Biology and Biological Engineering, Division of",Biological Sciences,Biological Sciences,Natural Sciences,True
"Biology and Biological Engineering, Division of",Agricultural Engineering,Engineering,Engineering,True
Computer Science Area,Computer Science,Computational Sciences,Mathematics and Computing,True
"Institute for Data, Systems, and Society (IDSS)",Systems Engineering,Engineering,Engineering,True
"Aeronautics and Astronautics, Department of",Aerospace Engineering,Engineering,Engineering,True
"Mechanical and Aerospace Engineering, Department of",Aerospace Engineering,Engineering,Engineering,True
"Mechanical and Aerospace Engineering, Department of",Mechanical Engineering,Engineering,Engineering,True
"Integrative Biology, Department of",Biological Sciences,Biological Sciences,Natural Sciences,True
"Integrative Biology, Department of",Ecology,Biological Sciences,Natural Sciences,True
Neuroscience Institute,Neuroscience,Biological Sciences,Natural Sciences,True
"Music, Department of",Music,Arts,Humanities,False
"Engineering Sciences, Department of",,Engineering,Engineering,True
"History and Philosophy of Medicine, Department of",History,History,Humanities,False
"History and Philosophy of Medicine, Department of",Philosophy,Philosophy,Humanities,False
"Gender, Women's, and Sexuality Studies, Department of",Gender Studies,Gender Studies,Social Sciences,False
"International Studies, School of",International Affairs,Political Science,Social Sciences,False
"Classics, Department of",Classics and Classical Languages,"Language, Literature, Culture",Humanities,False
"Near Eastern Studies, Department of",Near and Middle Eastern Languages and Cultures,"Language, Literature, Culture",Humanities,False
"Anthropology, Department of",Anthropology,Anthropology,Social Sciences,False
"South and Southeast Asian Studies, Department of",Asian Studies,"Language, Literature, Culture",Humanities,False
"History of Art, Department of",Art History and Criticism,"Language, Literature, Culture",Humanities,False
"Education, Graduate School of",Education,Education,Education,False
"Education, Department of",Education,Education,Education,False
"Administration, Leadership and Technology, Department of",Education Administration,Education,Education,False
"Education, School of",,Education,Education,False
"Education, School of",Curriculum and Instruction,Education,Education,False
"Education, School of",Educational Psychology,Psychological Sciences,Social Sciences,False
"Education, School of",Education Administration,Education,Education,False
Teaching and Learning - Curriculum and Instruction,Curriculum and Instruction,Education,Education,False
"Teaching and Learning, Department of",Curriculum and Instruction,Education,Education,False
"Teaching and Learning, Department of",,Education,Education,False
"Education and Social Policy, School of",Education,Education,Education,False
"Education and Social Policy, School of",Human Development and Family Sciences,Health,Health,False
"African American Studies, Department of",,"Language, Literature, Culture",Humanities,False
Graduate School of Education,Education,Education,Education,False
"Educational Leadership, Department of",Education Administration,Education,Education,False
"Political Science, Department of",Political Science,Political Science,Social Sciences,False
"Curriculum and Teaching, Department of",Curriculum and Instruction,Education,Education,False
"Educational Foundations, Leadership & Counseling, Department of",Education Administration,Education,Education,False
"Educational Foundations, Leadership & Counseling, Department of",Counselor Education,Education,Education,False
"Educational Foundations, Leadership & Counseling, Department of",,Education,Education,False
"Counseling, Clinical and School Psychology, Department of",,Psychological Sciences,Social Sciences,False
"German, Department of",Germanic Languages and Literatures,"Language, Literature, Culture",Humanities,False
"Business, School of",Business Administration,Business,Business,False
"Management, School of",Management,Business,Business,False
"Hotel Administration, School of",,Business,Business,False
"Accounting, School of",Accounting,Business,Business,False
Business School - Operations Management and Business Analytics,Operations Research,Engineering,Engineering,True
Organizational Behavior Unit,,Business,Business,False
Entrepreneurial Manangement Unit,,Business,Business,False
"Health Care Management, Department of",,Health,Health,False
"Agricultural and Resource Economics, Department of",Agricultural Economics,Economics,Social Sciences,False
"Business, Graduate School of",Business Administration,Business,Business,False
"Public Health, School of",Public Health,Health,Health,False
"Public and International Affairs, School of",International Affairs,Political Science,Social Sciences,False
"Public and International Affairs, School of",Public Administration,Public Administration and Policy,Public Administration and Policy,False
"Public and International Affairs, School of",Public Policy,Public Administration and Policy,Public Administration and Policy,False
"Operations and Technology Management, Department of",Operations Research,Engineering,Engineering,True
"Operations and Technology Management, Department of",Management Information Systems,Business,Business,False
"Sociology, Department of",Sociology,Sociology,Social Sciences,False
"Business, School of",Management,Business,Business,False
"Business, Booth School of",Business Administration,Business,Business,False
"Public Policy, Harris School of",Public Policy,Public Administration and Policy,Public Administration and Policy,False
"Health Policy and Management, Department of",Public Health,Health,Health,False
"Environmental Health Sciences, Division of",Environmental Health Sciences,Health,Health,False
"Environmental Health Sciences, Department of",Environmental Health Sciences,Health,Health,False
"Biostatistics, Department of",Biostatistics,Biological Sciences,Natural Sciences,True
"Behavioral Science, Department of",,Psychological Sciences,Social Sciences,False
"Environmental Science, Department of",Environmental Sciences,Earth Sciences,Natural Sciences,True
"City and Regional Planning, Department of",Urban and Regional Planning,"Architecture, Design, Planning",Humanities,False
"Nutritional Science and Toxicology, Department of",Nutrition Sciences,Health,Health,False
"Nutritional Science and Toxicology, Department of",,Medical Sciences,Medicine,True
"Demography, Department of",,,,
"Plant and Microbial Biology, Department of",Plant Sciences,Agriculture,Natural Sciences,True
"Plant and Microbial Biology, Department of",,Biological Sciences,Natural Sciences,True
"Environmental Science, Policy and Management, Department of",Environmental Sciences,Earth Sciences,Natural Sciences,True
"Civil, Architectural, and Environmental Engineering, Department of",Civil Engineering,Engineering,Engineering,True
"Civil, Architectural, and Environmental Engineering, Department of",Environmental Engineering,Engineering,Engineering,True
"Civil, Architectural, and Environmental Engineering, Department of",Architecture,"Architecture, Design, Planning",Humanities,False
"Social Welfare, School of",Social Work,Health,Health,False
"Anthropology, History and Social Medicine, Department of",,,,
"Anthropology, History and Social Medicine, Department of",Anthropology,Anthropology,Social Sciences,False
"Anthropology, History and Social Medicine, Department of",History,History,Humanities,False
"Nutrition, Department of",Nutrition Sciences,Health,Health,False
"Epidemiology and Biostatistics, Department of",Biostatistics,Biological Sciences,Natural Sciences,True
"Epidemiology and Biostatistics, Department of",Epidemiology,Medical Sciences,Medicine,True
"Social Work, School of",Social Work,Health,Health,False
"Psychology and Social Behavior, Department of",Psychology,Psychological Sciences,Social Sciences,False
"Criminology, Law and Society, Department of",Criminal Justice and Criminology,Sociology,Social Sciences,False
"Scandinavian, Department of",,"Language, Literature, Culture",Humanities,False
"Asian Languages and Cultures, Department of",Asian Studies,"Language, Literature, Culture",Humanities,False
"Asian Languages and Cultures, Department of",Asian Languages,"Language, Literature, Culture",Humanities,False
"Nordic Languages and Literature, Department of",,"Language, Literature, Culture",Humanities,False
"Film and Media, Department of",,,,
"Pathology, Department of",Pathology,Biological Sciences,Natural Sciences,True
"Biophysics and Biophysical Chemistry, Department of",Biophysics,Biological Sciences,Natural Sciences,True
"Molecular, Cellular and Developmental Biology, Department of",,Biological Sciences,Natural Sciences,True
"Molecular, Cellular and Developmental Biology, Department of",Molecular Biology,Biological Sciences,Natural Sciences,True
"Molecular, Cellular and Developmental Biology, Department of",Cell Biology,Biological Sciences,Natural Sciences,True
"Microbiology and Immunology, Department of",Microbiology,Biological Sciences,Natural Sciences,True
"Microbiology and Immunology, Department of",Immunology,Medical Sciences,Medicine,True
"Molecular Genetics, Department of",,Medical Sciences,Medicine,True
"Biological Chemistry and Pharmacology, Department of",Biochemistry,Biological Sciences,Natural Sciences,True
"Molecular Biology, Department of",Molecular Biology,Biological Sciences,Natural Sciences,True
"Physiology and Cellular Biophysics, Department of",Biophysics,Biological Sciences,Natural Sciences,True
"Physiology and Cellular Biophysics, Department of",Physiology,Medical Sciences,Medicine,True
"Biochemistry, Department of",Biochemistry,Biological Sciences,Natural Sciences,True
"Humanities and Social Sciences, Division of the",,,,
"Microbiology and Molecular Genetics, Department of",Microbiology,Biological Sciences,Natural Sciences,True
"Microbiology and Molecular Genetics, Department of",,Medical Sciences,Medicine,True
"Integrative Plant Science, School of",Plant Sciences,Agriculture,Natural Sciences,True
"Integrative Plant Science, School of",,Biological Sciences,Natural Sciences,True
"Ethnic Studies, Department of",,"Language, Literature, Culture",Humanities,False
"Chicana and Chicano Studies, Department of",,"Language, Literature, Culture",Humanities,False
"Public Policy, Department of",Public Policy,Public Administration and Policy,Public Administration and Policy,False
"Latino and Hispanic Caribbean Studies, Department of",,"Language, Literature, Culture",Humanities,False
"Women's and Gender Studies, Department of",Gender Studies,Gender Studies,Social Sciences,False
